year,source_measure,measure_label,raw_value,flow_type,price_basis,unit,donor,source_url,retrieval_date
2000,5,Official and private flows,25252.07,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2001,5,Official and private flows,38617.81,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2002,5,Official and private flows,24409.65,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2003,5,Official and private flows,37860.46,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2004,5,Official and private flows,32282.6,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2005,5,Official and private flows,113525.77,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2006,5,Official and private flows,90897.44,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2007,5,Official and private flows,129861.62,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2008,5,Official and private flows,13678.37,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2009,5,Official and private flows,115275.59,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2010,5,Official and private flows,216949.97,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2011,5,Official and private flows,166777.31,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2012,5,Official and private flows,167505.84,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2013,5,Official and private flows,151859.57,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2014,5,Official and private flows,238648,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2015,5,Official and private flows,38519.84,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2016,5,Official and private flows,71698.05,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2017,5,Official and private flows,172870.8,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2018,5,Official and private flows,50784.47,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2019,5,Official and private flows,148083.07,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2020,5,Official and private flows,4809.16,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2021,5,Official and private flows,238682.43,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2022,5,Official and private flows,228696.45,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2023,5,Official and private flows,175905.23,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2024,5,Official and private flows,233655.24,1140 - Net disbursements,current prices,USD millions,United States,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
