year,principal_amount,significant_amount,combined_amount,price_basis,base_period,flow_type,donor,recipient_grouping,marker,source_url,retrieval_date
2006,59.344158,0,59.344158,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2007,285.413937,0.723833,286.137770,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2008,301.495302,0,301.495302,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2009,289.391746,1.301576,290.693322,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2010,1141.334233,98.676799,1240.011032,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2011,1104.247366,418.223666,1522.471032,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2012,882.667773,434.067557,1316.735330,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2013,700.12971,570.588943,1270.718653,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2014,1113.806657,489.782637,1603.589294,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2015,843.002438,595.724562,1438.727000,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2016,1425.174692,246.11999,1671.294682,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2017,877.985485,187.824625,1065.810110,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
2018,519.269242,141.32464,660.593882,constant prices,2024,commitments,United States,developing countries,biodiversity (principal + significant),"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-11
