year,net_oda,gni,bilateral_net_ldc_oda,imputed_multilateral_ldc_oda,total_oda_gni_percent,ldc_oda_gni_percent,grant_equivalent_oda,grant_equivalent_percent,grant_equivalent_minus_net_percent,dac1_source_url,dac2a_source_url,grant_equivalent_source_url,retrieval_date
2000,9954.89,9928500,1042.36,950.25,0.1002658004733847006093569018,0.02006959762300448204663342902,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2001,11429.35,10158900,985.21,1221.16,0.1125057831064386892281644666,0.02171859157979702526848379254,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2002,13290.07,10490200,2077.97,965.88,0.1266903395550132504623362758,0.02901612933976473279823072963,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2003,16319.52,10980860,4229.1,460.74,0.1486178678172747853993220932,0.04270922313917124888214584286,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2004,19704.91,11656110,3422.94,1527.05,0.1690521966590912405596721376,0.04246691220312780164222883964,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2005,27934.74,12358700,4645.16,986.1,0.2260329969980661396425190352,0.04556514843794250204309514755,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2006,23532.14,13259900,5303.23,1148.06,0.1774684575298456247784674093,0.04865262935617915670555584884,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2007,21786.9,13925500,4797.21,1319.88,0.1564532691824351010735700693,0.04392725575383289648486589350,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2008,26436.78,14410300,7000.13,1235.82,0.1834575269078367556539419721,0.05715321679631929939001963873,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2009,28831.34,14011000,8008.61,1375.29,0.2057764613517950181999857255,0.06697523374491470987081578760,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2010,29656.36,14635600,8916.77,1645.97,0.2026316652545847112520156331,0.07217155429227363415234086747,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2011,30966.21,15211300,10059.76,1460.3,0.2035737247966971922189424967,0.07573356649333061605516951214,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2012,30652.38,16514500,9122.38,2015.99,0.1856088891580126555451270096,0.06744600199824396742256804626,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2013,31266.66,17204300,8838.03,1980.53,0.1817374726085920380370023773,0.06288288393018024563626535227,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2014,33095.5,17823200,8632.61,2194.79,0.1856877552852461959692984425,0.06074891153103819740562861888,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2015,30985.54,18496000,9115.601635,1604.74,0.1675256271626297577854671280,0.05796032458369377162629757785,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2016,34420.98,18496000,9323.363478,2506.29,0.1860995891003460207612456747,0.06395790158953287197231833910,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
2017,34731.98,19644500,10004.21481,2041.31,0.1768025656036040622057064318,0.06131754338364427702410343862,,,,"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC2@DF_DAC2A,1.6/USA.LDC.106%2B206.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels","https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.11010..1160.USD.V?startPeriod=2018&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",2026-08-12
