indicator_id,comparison_component,series_code,series_description,year,value,unit,geography,geography_code,disaggregation,nature_code,nature_description,observation_status,source_organization,source_dataset,reported_source,source_url,custodian,database_release,database_last_updated,comparison_status,fallback_suitability,completeness_status,is_preferred_comparison,retrieval_method,retrieval_date,footnotes,notes
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2014,13.39,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2015,12.44,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2016,12.02,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2017,10.97,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2018,10.92,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2019,10.41,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2020,13.89,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | Break in series: Methodology revised""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2021,12.2,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2022,11.24,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
8.6.1,both_sexes_ages_15_24,SL_TLF_NEET_19ICLS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",2023,11.19,Percentage,United States of America,840,"{""Age"":""15-24"",""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",C,Country data,A,International Labour Organization (ILO),"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_NEET_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Official NEET measure differs from the legacy U.S. ages 16-24 not-enrolled/not-employed proxy.
