indicator_id,comparison_component,series_code,series_description,year,value,unit,geography,geography_code,disaggregation,nature_code,nature_description,observation_status,source_organization,source_dataset,reported_source,source_url,custodian,database_release,database_last_updated,comparison_status,fallback_suitability,completeness_status,is_preferred_comparison,retrieval_method,retrieval_date,footnotes,notes
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2006,6743.44,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2007,6904.72,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2008,9152.66,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2009,6371.26,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2010,6181.18,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2011,5021.23,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2012,4126.1,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2013,5047.78,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2014,3813.1,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
8.a.1,donor_commitments,DC_TOF_TRDCMDL,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",2015,4363.24,Millions of constant United States dollars,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2024 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_TOF_TRDCMDL&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Commitments, Based on OECD, CRS database, 2026, Constant 2024 USD million""]",United States donor Aid for Trade commitments in millions of constant 2024 USD.
