year,sex,weighted_numerator,weighted_denominator,unweighted_numerator,unweighted_denominator,weight_variable,calculated_value,source_url,retrieval_method,retrieval_date
2018,Male,1806189.0731,2014507.5026,695,775,PWSUPWGT,89.659088922173965002536694945739637673762416892574,https://www2.census.gov/programs-surveys/cps/datasets/2018/supp/oct18pub.zip,download,2026-08-08
2018,Female,1760890.1830,1956444.0858,672,751,PWSUPWGT,90.004626034582684826555547657655425339628686463737,https://www2.census.gov/programs-surveys/cps/datasets/2018/supp/oct18pub.zip,download,2026-08-08
2019,Male,1960708.2046,2134657.6874,640,701,PWSUPWGT,91.851176709654586092022053352852718375383674642466,https://www2.census.gov/programs-surveys/cps/datasets/2019/supp/oct19pub.zip,download,2026-08-08
2019,Female,1751891.1676,1957460.0924,654,731,PWSUPWGT,89.49818054538438466506741233423472271040614958082,https://www2.census.gov/programs-surveys/cps/datasets/2019/supp/oct19pub.zip,download,2026-08-08
2020,Male,1727760.1455,2031562.2017,570,670,PWSUPWGT,85.045889515675172447760746305875710465577323799645,https://www2.census.gov/programs-surveys/cps/datasets/2020/supp/oct20pub.zip,download,2026-08-08
2020,Female,1599572.4377,1913129.4345,542,643,PWSUPWGT,83.610257040347679622719222764642482949576927854225,https://www2.census.gov/programs-surveys/cps/datasets/2020/supp/oct20pub.zip,download,2026-08-08
2021,Male,1743611.7530,2037738.3033,535,620,PWSUPWGT,85.566029267660181592857827103494678663333540136631,https://www2.census.gov/programs-surveys/cps/datasets/2021/supp/oct21pub.zip,download,2026-08-08
2021,Female,1754792.5710,2013845.4207,560,644,PWSUPWGT,87.136408433475750138045339598790190302117064570188,https://www2.census.gov/programs-surveys/cps/datasets/2021/supp/oct21pub.zip,download,2026-08-08
2022,Male,1747652.6826,1948320.2710,525,583,PWSUPWGT,89.700482441882882816856962219637040362138694803941,https://www2.census.gov/programs-surveys/cps/datasets/2022/supp/oct22pub.zip,download,2026-08-08
2022,Female,1661165.1880,1881260.0868,501,563,PWSUPWGT,88.300666114998554808014544860538950546558738589404,https://www2.census.gov/programs-surveys/cps/datasets/2022/supp/oct22pub.zip,download,2026-08-08
2023,Male,1745427.0191,1901317.3675,535,586,PWSUPWGT,91.800929657263018715890418015655137595012790519834,https://www2.census.gov/programs-surveys/cps/datasets/2023/supp/oct23pub.zip,download,2026-08-08
2023,Female,1634961.9230,1844465.8070,470,526,PWSUPWGT,88.64148724227339390304024215505557485241037054367,https://www2.census.gov/programs-surveys/cps/datasets/2023/supp/oct23pub.zip,download,2026-08-08
2024,Male,1739338.9530,1927989.4591,508,561,PWSUPWGT,90.215169216326344592513337771702343224704199836359,https://www2.census.gov/programs-surveys/cps/datasets/2024/supp/oct24pub.zip,download,2026-08-08
2024,Female,1615914.5530,1832223.2888,435,490,PWSUPWGT,88.194193517665105229176584844640798018438548296221,https://www2.census.gov/programs-surveys/cps/datasets/2024/supp/oct24pub.zip,download,2026-08-08
