year,enrolled_population_thousands,not_enrolled_population_thousands,employed_not_enrolled_thousands,calculated_value,source_method,retrieval_date
1985,12450,22152,15396,19.5,bulk,2026-08-08
1986,12555,21510,15085,18.9,bulk,2026-08-08
1987,12869,20707,14736,17.8,bulk,2026-08-08
1988,12823,20139,14464,17.2,bulk,2026-08-08
1989,12780,19469,14040,16.8,bulk,2026-08-08
1990,13469,19953,14194,17.2,bulk,2026-08-08
1991,13472,19565,13299,19.0,bulk,2026-08-08
1992,13598,19089,12983,18.7,bulk,2026-08-08
1993,13772,18805,12958,17.9,bulk,2026-08-08
1994,14274,18275,12673,17.2,bulk,2026-08-08
1995,14298,18078,12613,16.9,bulk,2026-08-08
1996,14904,17439,12190,16.2,bulk,2026-08-08
1997,15463,17344,12333,15.3,bulk,2026-08-08
1998,15851,17387,12542,14.6,bulk,2026-08-08
1999,16316,17692,12840,14.3,bulk,2026-08-08
2000,16072,18151,13268,14.3,bulk,2026-08-08
2001,16720,18085,12903,14.9,bulk,2026-08-08
2002,17274,18067,12612,15.4,bulk,2026-08-08
2003,17900,17997,12329,15.8,bulk,2026-08-08
2004,18426,17993,12440,15.2,bulk,2026-08-08
2005,18465,18209,12532,15.5,bulk,2026-08-08
2006,18755,18188,12733,14.8,bulk,2026-08-08
2007,19431,17978,12552,14.5,bulk,2026-08-08
2008,19644,17840,12068,15.4,bulk,2026-08-08
2009,20022,17545,10989,17.5,bulk,2026-08-08
2010,20603,17345,10652,17.6,bulk,2026-08-08
2011,20756,17442,10899,17.1,bulk,2026-08-08
2012,21236,17547,11150,16.5,bulk,2026-08-08
2013,20217,18622,11791,17.6,bulk,2026-08-08
2014,20097,18615,12179,16.6,bulk,2026-08-08
2015,20171,18418,12371,15.7,bulk,2026-08-08
2016,20128,18306,12430,15.3,bulk,2026-08-08
2017,20239,17911,12557,14.0,bulk,2026-08-08
2018,20152,17852,12571,13.9,bulk,2026-08-08
2019,20062,17686,12681,13.3,bulk,2026-08-08
2020,19540,17945,11484,17.2,bulk,2026-08-08
2021,19293,17969,12408,14.9,bulk,2026-08-08
2022,19609,18348,12898,14.4,bulk,2026-08-08
2023,20056,19284,13740,14.1,bulk,2026-08-08
2024,20150,18822,13212,14.4,bulk,2026-08-08
2025,20815,18951,13188,14.5,bulk,2026-08-08
