indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2000,25252.07,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2001,38617.81,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2002,24409.65,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2003,37860.46,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2004,32282.6,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2005,113525.77,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2006,90897.44,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2007,129861.62,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2008,13678.37,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2009,115275.59,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
