indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2006,59.344158,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2007,286.137770,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2008,301.495302,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2009,290.693322,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2010,1240.011032,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2011,1522.471032,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2012,1316.735330,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2013,1270.718653,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2014,1603.589294,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
15.b.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2015,1438.727000,million constant 2024 USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD Rio Markers / Creditor Reporting System biodiversity-related official development assistance,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_RIOMRKR@DF_RIOMARKERS,1.6/USA.DPGC.1000.100.2.10.1%2B2.C.Q._T..USD?startPeriod=2006&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-11,us_donor_biodiversity_oda_commitments,current_methodology_verified,"This is component (a), the ODA component, of the current indicator. It measures United States donor bilateral-allocable biodiversity-related ODA commitments in constant 2024 USD, using the full values of principal and significant Rio Marker flows. It does not measure the separate biodiversity-relevant economic-instruments component. The legacy U.S. archive used gross disbursements in current USD, so the current series intentionally does not reproduce the archived values."
