indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2018,89.829331249471850146416657835475312993367542108311,percent,United States,{},U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2018/supp/oct18pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2018,89.659088922173965002536694945739637673762416892574,percent,United States,"{""sex"":""Male""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2018/supp/oct18pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2018,90.004626034582684826555547657655425339628686463737,percent,United States,"{""sex"":""Female""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2018/supp/oct18pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2019,90.72562355185806130691859320368430808967010270607,percent,United States,{},U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2019/supp/oct19pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2019,91.851176709654586092022053352852718375383674642466,percent,United States,"{""sex"":""Male""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2019/supp/oct19pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2019,89.49818054538438466506741233423472271040614958082,percent,United States,"{""sex"":""Female""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2019/supp/oct19pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2020,84.349624509693886525649130028695143864031295151709,percent,United States,{},U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2020/supp/oct20pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview. Census notes that pandemic-era response and enrollment classification issues may affect the 2020 estimate.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2020,85.045889515675172447760746305875710465577323799645,percent,United States,"{""sex"":""Male""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2020/supp/oct20pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview. Census notes that pandemic-era response and enrollment classification issues may affect the 2020 estimate.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2020,83.610257040347679622719222764642482949576927854225,percent,United States,"{""sex"":""Female""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2020/supp/oct20pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview. Census notes that pandemic-era response and enrollment classification issues may affect the 2020 estimate.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2021,86.346588453221854240028534580024885103423324937811,percent,United States,{},U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2021/supp/oct21pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2021,85.566029267660181592857827103494678663333540136631,percent,United States,"{""sex"":""Male""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2021/supp/oct21pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
4.2.2,Percentage of 5-year-olds enrolled in organized learning,2021,87.136408433475750138045339598790190302117064570188,percent,United States,"{""sex"":""Female""}",U.S. Census Bureau / National Center for Education Statistics,"Current Population Survey, October School Enrollment Supplement",https://www2.census.gov/programs-surveys/cps/datasets/2021/supp/oct21pub.zip,download,2026-08-11,legacy_us_cps_age_5_organized_learning,archive_matched,Age five means age at last birthday at the October CPS interview.
