indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
8.a.1,Aid for Trade commitments and disbursements,2002,1835.457333,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2003,2456.953302,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2004,4471.344080,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2005,6694.676882,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2006,6743.444717,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2006,6556.714346,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2007,6904.749387,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2007,4844.240572,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2008,9152.662044,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2008,5094.228710,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2009,6371.263665,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2009,5011.876321,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2010,6181.536264,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2010,5728.218516,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2011,5021.232881,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2011,5464.942133,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2012,4126.098621,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2012,4754.806201,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2013,5047.781351,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2013,4416.942384,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2014,3813.101379,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2014,4119.421851,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2015,4363.243753,million constant 2024 USD,United States,"{""flow"":""Commitments""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
8.a.1,Aid for Trade commitments and disbursements,2015,3656.023642,million constant 2024 USD,United States,"{""flow"":""Disbursements""}",Organisation for Economic Co-operation and Development (OECD),OECD Creditor Reporting System (CRS) Aid for Trade flows,"https://sdmx.oecd.org/dcd-public/rest/data/OECD.DCD.FSD,DSD_CRS@DF_CRS,1.6/USA.DPGC.210%2B220%2B230%2B240%2B250%2B310%2B320%2B331%2B332.100._T._T.C%2BD.Q._T..USD?startPeriod=2002&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_aid_for_trade_constant_2024,current_methodology_verified,"The current OECD/UN method uses commitments and gross disbursements in constant 2024 USD. The legacy U.S. archive uses current USD, so archive differences are a price-basis diagnostic and are not validation failures."
